text,label
"Highly recommend this hotel, such a smooth experience.",positive
"This is one of the best books I've tried, really fantastic.",positive
"Amazing app, I would definitely buy again.",positive
"Fantastic book, totally worth the price.",positive
"I do not recommend this headphones, such a horrible experience.",negative
"Great hotel, the quality is reliable and I'm satisfied.",positive
"This is one of the best games I've tried, really wonderful.",positive
"Terrible game, the quality is useless and I regret buying it.",negative
"Great movie, the quality is wonderful and I'm satisfied.",positive
"I am very happy with this restaurant, it works smoothly.",positive
"This hotel was really uncomfortable, I hated it.",negative
"This is one of the best restaurants I've tried, really useful.",positive
"Terrible game, the quality is bad and I regret buying it.",negative
The laptop felt very fantastic and well made.,positive
"I am very disappointed with this movie, it works barely.",negative
"Great laptop, the quality is wonderful and I'm satisfied.",positive
"Fantastic hotel, totally worth the price.",positive
"I am very happy with this headphones, it works flawlessly.",positive
"The laptop did not meet my expectations, really horrible.",negative
"Great app, the quality is great and I'm satisfied.",positive
"Highly recommend this headphones, such a reliable experience.",positive
"I hated using this headphones, everything was cheap.",negative
"I hated using this book, everything was uncomfortable.",negative
"I am very disappointed with this movie, it works poorly.",negative
"This is one of the worst apps I've tried, really terrible.",negative
"The book exceeded my expectations, really smooth.",positive
"This is one of the worst courses I've tried, really frustrating.",negative
"This restaurant was really frustrating, I hated it.",negative
The hotel felt very bad and poorly made.,negative
"Terrible movie, the quality is uncomfortable and I regret buying it.",negative
"Fantastic app, totally worth the price.",positive
"I do not recommend this phone, such a noisy experience.",negative
"The headphones did not meet my expectations, really noisy.",negative
"The app did not meet my expectations, really noisy.",negative
"This game was absolutely comfortable, I loved it.",positive
"I am very disappointed with this game, it works barely.",negative
"The book did not meet my expectations, really disappointing.",negative
"I am very happy with this phone, it works reliably.",positive
"The hotel exceeded my expectations, really great.",positive
"This is one of the best courses I've tried, really fantastic.",positive
"Terrible movie, the quality is uncomfortable and I regret buying it.",negative
"This is one of the best movies I've tried, really smooth.",positive
"This is one of the best phones I've tried, really smooth.",positive
"Amazing book, I would definitely buy again.",positive
"I am very happy with this movie, it works reliably.",positive
"This is one of the best hotels I've tried, really impressive.",positive
"I hated using this phone, everything was bad.",negative
"Awful phone, totally not worth the price.",negative
"Highly recommend this game, such a impressive experience.",positive
"Fantastic phone, totally worth the price.",positive
"Terrible game, the quality is noisy and I regret buying it.",negative
"Awful phone, totally not worth the price.",negative
The phone felt very horrible and poorly made.,negative
"Disappointing headphones, I would never buy again.",negative
"This is one of the best headphoness I've tried, really amazing.",positive
"Fantastic course, totally worth the price.",positive
The book felt very bad and poorly made.,negative
"The book did not meet my expectations, really uncomfortable.",negative
"I hated using this hotel, everything was cheap.",negative
"Disappointing movie, I would never buy again.",negative
"I hated using this laptop, everything was horrible.",negative
"This is one of the worst headphoness I've tried, really frustrating.",negative
"This headphones was absolutely impressive, I loved it.",positive
"The restaurant did not meet my expectations, really bad.",negative
"Fantastic course, totally worth the price.",positive
"Awful book, totally not worth the price.",negative
"This is one of the worst apps I've tried, really uncomfortable.",negative
"Disappointing laptop, I would never buy again.",negative
"The restaurant exceeded my expectations, really impressive.",positive
"Terrible headphones, the quality is noisy and I regret buying it.",negative
"This game was absolutely fantastic, I loved it.",positive
"I am very happy with this game, it works flawlessly.",positive
"I am very happy with this headphones, it works flawlessly.",positive
"Fantastic restaurant, totally worth the price.",positive
"I do not recommend this book, such a uncomfortable experience.",negative
"Awful app, totally not worth the price.",negative
"Highly recommend this game, such a reliable experience.",positive
"The movie did not meet my expectations, really terrible.",negative
"I am very happy with this app, it works flawlessly.",positive
"This phone was really uncomfortable, I hated it.",negative
The book felt very bad and poorly made.,negative
"I am very happy with this game, it works beautifully.",positive
"Terrible book, the quality is frustrating and I regret buying it.",negative
"This is one of the best apps I've tried, really amazing.",positive
"Disappointing hotel, I would never buy again.",negative
"Terrible headphones, the quality is terrible and I regret buying it.",negative
"This is one of the best laptops I've tried, really great.",positive
"I am very happy with this laptop, it works reliably.",positive
"This movie was really cheap, I hated it.",negative
"Terrible hotel, the quality is noisy and I regret buying it.",negative
"The book exceeded my expectations, really useful.",positive
"This hotel was really uncomfortable, I hated it.",negative
"I am very happy with this laptop, it works smoothly.",positive
"This app was absolutely smooth, I loved it.",positive
The phone felt very comfortable and well made.,positive
"Fantastic laptop, totally worth the price.",positive
"This is one of the best books I've tried, really useful.",positive
"I do not recommend this phone, such a frustrating experience.",negative
"Amazing movie, I would definitely buy again.",positive
The laptop felt very impressive and well made.,positive
"I am very happy with this game, it works perfectly.",positive
"Great movie, the quality is reliable and I'm satisfied.",positive
"Amazing headphones, I would definitely buy again.",positive
"This phone was absolutely excellent, I loved it.",positive
"Disappointing course, I would never buy again.",negative
"This is one of the worst headphoness I've tried, really buggy.",negative
"Highly recommend this movie, such a impressive experience.",positive
"This laptop was really buggy, I hated it.",negative
"This laptop was absolutely great, I loved it.",positive
"I hated using this app, everything was buggy.",negative
"I am very happy with this hotel, it works beautifully.",positive
"I am very happy with this movie, it works flawlessly.",positive
"This restaurant was absolutely useful, I loved it.",positive
"Disappointing app, I would never buy again.",negative
"This is one of the best courses I've tried, really impressive.",positive
"The laptop did not meet my expectations, really horrible.",negative
"Highly recommend this hotel, such a wonderful experience.",positive
The laptop felt very buggy and poorly made.,negative
"I am very disappointed with this laptop, it works slowly.",negative
"I am very happy with this app, it works beautifully.",positive
"Fantastic course, totally worth the price.",positive
"Highly recommend this restaurant, such a wonderful experience.",positive
"I enjoyed using this course, everything was smooth.",positive
"Great game, the quality is comfortable and I'm satisfied.",positive
"I hated using this restaurant, everything was horrible.",negative
"This is one of the best courses I've tried, really excellent.",positive
"This book was really buggy, I hated it.",negative
"The game exceeded my expectations, really excellent.",positive
"This restaurant was absolutely excellent, I loved it.",positive
"This is one of the best phones I've tried, really useful.",positive
"I am very disappointed with this headphones, it works poorly.",negative
"Highly recommend this game, such a impressive experience.",positive
"Awful movie, totally not worth the price.",negative
The book felt very comfortable and well made.,positive
The book felt very frustrating and poorly made.,negative
"I do not recommend this restaurant, such a cheap experience.",negative
The app felt very useless and poorly made.,negative
"I do not recommend this laptop, such a bad experience.",negative
"Fantastic movie, totally worth the price.",positive
"Highly recommend this book, such a fantastic experience.",positive
"This headphones was really useless, I hated it.",negative
"Awful phone, totally not worth the price.",negative
"I am very happy with this headphones, it works flawlessly.",positive
"I am very happy with this laptop, it works perfectly.",positive
"Great game, the quality is excellent and I'm satisfied.",positive
"Disappointing restaurant, I would never buy again.",negative
"I am very happy with this hotel, it works flawlessly.",positive
"Fantastic game, totally worth the price.",positive
The course felt very wonderful and well made.,positive
"Highly recommend this restaurant, such a smooth experience.",positive
"This phone was absolutely wonderful, I loved it.",positive
"I enjoyed using this app, everything was reliable.",positive
"The phone exceeded my expectations, really impressive.",positive
"I do not recommend this game, such a frustrating experience.",negative
"Awful hotel, totally not worth the price.",negative
"Great restaurant, the quality is reliable and I'm satisfied.",positive
"The game did not meet my expectations, really uncomfortable.",negative
"Amazing game, I would definitely buy again.",positive
"Great restaurant, the quality is useful and I'm satisfied.",positive
"Terrible headphones, the quality is disappointing and I regret buying it.",negative
"Highly recommend this headphones, such a smooth experience.",positive
The course felt very cheap and poorly made.,negative
"The hotel did not meet my expectations, really cheap.",negative
The restaurant felt very smooth and well made.,positive
"I hated using this restaurant, everything was bad.",negative
"I do not recommend this laptop, such a frustrating experience.",negative
"Terrible movie, the quality is horrible and I regret buying it.",negative
"This headphones was absolutely comfortable, I loved it.",positive
"This is one of the best laptops I've tried, really reliable.",positive
"I enjoyed using this phone, everything was comfortable.",positive
"This is one of the worst phones I've tried, really terrible.",negative
"I enjoyed using this game, everything was smooth.",positive
"I hated using this book, everything was useless.",negative
"Disappointing movie, I would never buy again.",negative
"Awful course, totally not worth the price.",negative
"The movie did not meet my expectations, really frustrating.",negative
"Highly recommend this hotel, such a fantastic experience.",positive
"This app was absolutely fantastic, I loved it.",positive
"I hated using this book, everything was useless.",negative
"Terrible book, the quality is terrible and I regret buying it.",negative
"Disappointing headphones, I would never buy again.",negative
"The book did not meet my expectations, really bad.",negative
"I enjoyed using this restaurant, everything was fantastic.",positive
"Great game, the quality is excellent and I'm satisfied.",positive
"Terrible movie, the quality is frustrating and I regret buying it.",negative
"Terrible restaurant, the quality is cheap and I regret buying it.",negative
"The book did not meet my expectations, really useless.",negative
"Highly recommend this game, such a amazing experience.",positive
"This restaurant was really useless, I hated it.",negative
"Amazing laptop, I would definitely buy again.",positive
"The book exceeded my expectations, really impressive.",positive
"The movie did not meet my expectations, really noisy.",negative
"This is one of the best apps I've tried, really useful.",positive
The book felt very wonderful and well made.,positive
"This is one of the best courses I've tried, really comfortable.",positive
"I enjoyed using this book, everything was reliable.",positive
"I enjoyed using this game, everything was impressive.",positive
"This is one of the worst courses I've tried, really frustrating.",negative
"This is one of the best restaurants I've tried, really reliable.",positive
"The phone exceeded my expectations, really great.",positive
"This is one of the worst games I've tried, really frustrating.",negative
"I enjoyed using this restaurant, everything was smooth.",positive
"I hated using this movie, everything was cheap.",negative
"I am very happy with this restaurant, it works reliably.",positive
"Highly recommend this movie, such a impressive experience.",positive
"Terrible phone, the quality is useless and I regret buying it.",negative
"This is one of the worst phones I've tried, really useless.",negative
"This is one of the best movies I've tried, really comfortable.",positive
"Great laptop, the quality is comfortable and I'm satisfied.",positive
"Great headphones, the quality is amazing and I'm satisfied.",positive
"This phone was really noisy, I hated it.",negative
"Great hotel, the quality is excellent and I'm satisfied.",positive
"Disappointing game, I would never buy again.",negative
The course felt very uncomfortable and poorly made.,negative
"The laptop did not meet my expectations, really uncomfortable.",negative
"Awful movie, totally not worth the price.",negative
"Great app, the quality is useful and I'm satisfied.",positive
"I do not recommend this headphones, such a horrible experience.",negative
"The hotel did not meet my expectations, really uncomfortable.",negative
"The restaurant did not meet my expectations, really terrible.",negative
"Highly recommend this book, such a impressive experience.",positive
The hotel felt very terrible and poorly made.,negative
"Fantastic app, totally worth the price.",positive
"This restaurant was really cheap, I hated it.",negative
"Disappointing headphones, I would never buy again.",negative
"Fantastic hotel, totally worth the price.",positive
"I am very disappointed with this restaurant, it works inconsistently.",negative
"This is one of the best laptops I've tried, really impressive.",positive
The course felt very bad and poorly made.,negative
"This course was absolutely great, I loved it.",positive
"This hotel was really useless, I hated it.",negative
The movie felt very great and well made.,positive
The app felt very horrible and poorly made.,negative
"I enjoyed using this headphones, everything was impressive.",positive
The phone felt very uncomfortable and poorly made.,negative
"This restaurant was absolutely impressive, I loved it.",positive
"Awful phone, totally not worth the price.",negative
"This is one of the best books I've tried, really wonderful.",positive
"I enjoyed using this movie, everything was wonderful.",positive
"Amazing course, I would definitely buy again.",positive
"I am very disappointed with this movie, it works poorly.",negative
"Awful hotel, totally not worth the price.",negative
"I am very disappointed with this movie, it works badly.",negative
"This is one of the worst apps I've tried, really terrible.",negative
"This phone was really disappointing, I hated it.",negative
"The game did not meet my expectations, really disappointing.",negative
"Great phone, the quality is wonderful and I'm satisfied.",positive
"This is one of the best courses I've tried, really smooth.",positive
"Terrible book, the quality is frustrating and I regret buying it.",negative
The restaurant felt very excellent and well made.,positive
"This restaurant was absolutely amazing, I loved it.",positive
"I am very disappointed with this book, it works badly.",negative
"I hated using this hotel, everything was buggy.",negative
"Awful course, totally not worth the price.",negative
"This is one of the best books I've tried, really smooth.",positive
"I am very happy with this movie, it works smoothly.",positive
"This is one of the best headphoness I've tried, really amazing.",positive
"I do not recommend this phone, such a disappointing experience.",negative
"This is one of the best restaurants I've tried, really fantastic.",positive
"This is one of the best laptops I've tried, really fantastic.",positive
"Highly recommend this game, such a excellent experience.",positive
"I do not recommend this game, such a buggy experience.",negative
The hotel felt very bad and poorly made.,negative
"This is one of the best games I've tried, really impressive.",positive
"This is one of the best headphoness I've tried, really excellent.",positive
"Disappointing game, I would never buy again.",negative
"Awful phone, totally not worth the price.",negative
"Great laptop, the quality is impressive and I'm satisfied.",positive
"The course did not meet my expectations, really terrible.",negative
The hotel felt very wonderful and well made.,positive
"I enjoyed using this restaurant, everything was smooth.",positive
"I hated using this course, everything was cheap.",negative
"This laptop was absolutely useful, I loved it.",positive
"Fantastic game, totally worth the price.",positive
"The app exceeded my expectations, really great.",positive
"This laptop was absolutely great, I loved it.",positive
"I am very happy with this hotel, it works smoothly.",positive
"Highly recommend this course, such a useful experience.",positive
"This movie was really frustrating, I hated it.",negative
"Disappointing laptop, I would never buy again.",negative
"Great headphones, the quality is wonderful and I'm satisfied.",positive
"I do not recommend this phone, such a uncomfortable experience.",negative
"The restaurant did not meet my expectations, really buggy.",negative
"I am very happy with this phone, it works perfectly.",positive
"I am very happy with this movie, it works smoothly.",positive
"Awful game, totally not worth the price.",negative
"The game did not meet my expectations, really buggy.",negative
"This is one of the worst courses I've tried, really useless.",negative
"I do not recommend this course, such a cheap experience.",negative
"The course did not meet my expectations, really frustrating.",negative
"I hated using this movie, everything was terrible.",negative
"Terrible app, the quality is horrible and I regret buying it.",negative
"This hotel was really disappointing, I hated it.",negative
"Awful app, totally not worth the price.",negative
"The app did not meet my expectations, really uncomfortable.",negative
"This is one of the worst phones I've tried, really useless.",negative
"I hated using this hotel, everything was disappointing.",negative
"This game was really bad, I hated it.",negative
"I am very happy with this restaurant, it works smoothly.",positive
"This laptop was really disappointing, I hated it.",negative
"Fantastic hotel, totally worth the price.",positive
"I hated using this game, everything was bad.",negative
"I am very happy with this movie, it works smoothly.",positive
"This is one of the best headphoness I've tried, really great.",positive
"Awful laptop, totally not worth the price.",negative
"This is one of the worst games I've tried, really horrible.",negative
The hotel felt very fantastic and well made.,positive
"The hotel exceeded my expectations, really smooth.",positive
"Awful hotel, totally not worth the price.",negative
"I am very happy with this game, it works perfectly.",positive
"The course exceeded my expectations, really reliable.",positive
"I do not recommend this hotel, such a cheap experience.",negative
"I am very disappointed with this laptop, it works poorly.",negative
The headphones felt very cheap and poorly made.,negative
"Highly recommend this course, such a wonderful experience.",positive
"Great phone, the quality is smooth and I'm satisfied.",positive
"Disappointing laptop, I would never buy again.",negative
"Fantastic laptop, totally worth the price.",positive
"This course was absolutely excellent, I loved it.",positive
"Awful hotel, totally not worth the price.",negative
"The app did not meet my expectations, really bad.",negative
"Highly recommend this headphones, such a smooth experience.",positive
"Terrible course, the quality is noisy and I regret buying it.",negative
"This hotel was really uncomfortable, I hated it.",negative
"Terrible laptop, the quality is noisy and I regret buying it.",negative
The movie felt very uncomfortable and poorly made.,negative
"This is one of the worst headphoness I've tried, really uncomfortable.",negative
"I am very happy with this book, it works smoothly.",positive
"I am very happy with this hotel, it works smoothly.",positive
"I do not recommend this headphones, such a horrible experience.",negative
"The book exceeded my expectations, really excellent.",positive
"I am very happy with this phone, it works beautifully.",positive
The app felt very reliable and well made.,positive
"Terrible movie, the quality is bad and I regret buying it.",negative
"Disappointing phone, I would never buy again.",negative
"The phone did not meet my expectations, really frustrating.",negative
"This is one of the worst courses I've tried, really useless.",negative
"I hated using this movie, everything was useless.",negative
"Fantastic book, totally worth the price.",positive
The hotel felt very cheap and poorly made.,negative
"Highly recommend this hotel, such a fantastic experience.",positive
The headphones felt very fantastic and well made.,positive
"I enjoyed using this phone, everything was comfortable.",positive
"Amazing headphones, I would definitely buy again.",positive
"Amazing laptop, I would definitely buy again.",positive
"I enjoyed using this headphones, everything was comfortable.",positive
"I am very disappointed with this phone, it works slowly.",negative
"The book did not meet my expectations, really disappointing.",negative
"Amazing headphones, I would definitely buy again.",positive
The movie felt very excellent and well made.,positive
The hotel felt very terrible and poorly made.,negative
"I am very disappointed with this phone, it works slowly.",negative
"This is one of the worst phones I've tried, really disappointing.",negative
The restaurant felt very great and well made.,positive
"Amazing movie, I would definitely buy again.",positive
"Great hotel, the quality is smooth and I'm satisfied.",positive
"This laptop was really uncomfortable, I hated it.",negative
"This is one of the best apps I've tried, really wonderful.",positive
"The headphones exceeded my expectations, really reliable.",positive
"The restaurant did not meet my expectations, really buggy.",negative
"Amazing headphones, I would definitely buy again.",positive
"The laptop did not meet my expectations, really useless.",negative
"Terrible hotel, the quality is terrible and I regret buying it.",negative
"Amazing movie, I would definitely buy again.",positive
"Fantastic laptop, totally worth the price.",positive
"The hotel did not meet my expectations, really uncomfortable.",negative
"Terrible course, the quality is buggy and I regret buying it.",negative
"This game was really uncomfortable, I hated it.",negative
The movie felt very fantastic and well made.,positive
"I am very happy with this restaurant, it works smoothly.",positive
"This app was absolutely useful, I loved it.",positive
"I enjoyed using this headphones, everything was fantastic.",positive
"The game exceeded my expectations, really useful.",positive
"The hotel exceeded my expectations, really useful.",positive
"Great phone, the quality is reliable and I'm satisfied.",positive
"I hated using this app, everything was horrible.",negative
"This is one of the best laptops I've tried, really amazing.",positive
The course felt very fantastic and well made.,positive
"I hated using this restaurant, everything was uncomfortable.",negative
"Disappointing hotel, I would never buy again.",negative
"Fantastic app, totally worth the price.",positive
"Great game, the quality is wonderful and I'm satisfied.",positive
"This is one of the best courses I've tried, really impressive.",positive
The headphones felt very uncomfortable and poorly made.,negative
"This movie was absolutely excellent, I loved it.",positive
"I hated using this game, everything was noisy.",negative
"Amazing restaurant, I would definitely buy again.",positive
"Terrible app, the quality is cheap and I regret buying it.",negative
"I hated using this headphones, everything was uncomfortable.",negative
"Fantastic game, totally worth the price.",positive
"This is one of the best hotels I've tried, really comfortable.",positive
"I am very happy with this course, it works perfectly.",positive
"I am very disappointed with this hotel, it works inconsistently.",negative
"Highly recommend this game, such a fantastic experience.",positive
"Amazing restaurant, I would definitely buy again.",positive
"Awful hotel, totally not worth the price.",negative
"This hotel was really bad, I hated it.",negative
"This headphones was really uncomfortable, I hated it.",negative
"Awful phone, totally not worth the price.",negative
"Amazing course, I would definitely buy again.",positive
"This is one of the worst hotels I've tried, really uncomfortable.",negative
"I do not recommend this restaurant, such a cheap experience.",negative
"Highly recommend this hotel, such a reliable experience.",positive
The movie felt very terrible and poorly made.,negative
"This book was really buggy, I hated it.",negative
"The restaurant exceeded my expectations, really amazing.",positive
"This is one of the best phones I've tried, really excellent.",positive
"Great headphones, the quality is wonderful and I'm satisfied.",positive
"Highly recommend this hotel, such a smooth experience.",positive
"This movie was really horrible, I hated it.",negative
"I enjoyed using this laptop, everything was reliable.",positive
"Great restaurant, the quality is wonderful and I'm satisfied.",positive
"This game was absolutely reliable, I loved it.",positive
"I am very disappointed with this app, it works poorly.",negative
"This is one of the worst restaurants I've tried, really bad.",negative
The laptop felt very bad and poorly made.,negative
"The game exceeded my expectations, really comfortable.",positive
"I am very happy with this restaurant, it works beautifully.",positive
"Amazing hotel, I would definitely buy again.",positive
"Great app, the quality is reliable and I'm satisfied.",positive
"This course was absolutely fantastic, I loved it.",positive
"This is one of the worst laptops I've tried, really noisy.",negative
"I hated using this book, everything was noisy.",negative
"I do not recommend this restaurant, such a noisy experience.",negative
"This is one of the best apps I've tried, really reliable.",positive
"Disappointing game, I would never buy again.",negative
"Fantastic book, totally worth the price.",positive
"Terrible course, the quality is bad and I regret buying it.",negative
The movie felt very impressive and well made.,positive
"The hotel exceeded my expectations, really smooth.",positive
"Disappointing game, I would never buy again.",negative
"Terrible app, the quality is uncomfortable and I regret buying it.",negative
The course felt very terrible and poorly made.,negative
The app felt very wonderful and well made.,positive
"This is one of the worst phones I've tried, really frustrating.",negative
"I do not recommend this game, such a horrible experience.",negative
"This is one of the best books I've tried, really excellent.",positive
"This restaurant was absolutely reliable, I loved it.",positive
"I do not recommend this game, such a terrible experience.",negative
"This is one of the worst restaurants I've tried, really disappointing.",negative
"I am very happy with this app, it works beautifully.",positive
"I do not recommend this course, such a disappointing experience.",negative
"Terrible restaurant, the quality is noisy and I regret buying it.",negative
"I hated using this laptop, everything was bad.",negative
"The app did not meet my expectations, really horrible.",negative
"This is one of the best phones I've tried, really great.",positive
The app felt very bad and poorly made.,negative
"Awful app, totally not worth the price.",negative
"This movie was absolutely comfortable, I loved it.",positive
"The laptop exceeded my expectations, really impressive.",positive
"This book was really horrible, I hated it.",negative
"Terrible course, the quality is useless and I regret buying it.",negative
"Fantastic phone, totally worth the price.",positive
"This is one of the best hotels I've tried, really impressive.",positive
"I hated using this laptop, everything was noisy.",negative
"This is one of the worst books I've tried, really bad.",negative
"Highly recommend this laptop, such a excellent experience.",positive
"Awful phone, totally not worth the price.",negative
"Fantastic laptop, totally worth the price.",positive
"This is one of the worst courses I've tried, really useless.",negative
"Terrible hotel, the quality is bad and I regret buying it.",negative
"Highly recommend this laptop, such a wonderful experience.",positive
"This is one of the worst hotels I've tried, really noisy.",negative
"I am very happy with this book, it works smoothly.",positive
The phone felt very cheap and poorly made.,negative
"This is one of the worst restaurants I've tried, really horrible.",negative
"Amazing phone, I would definitely buy again.",positive
"I do not recommend this restaurant, such a disappointing experience.",negative
"I do not recommend this game, such a useless experience.",negative
"This laptop was absolutely amazing, I loved it.",positive
"The book exceeded my expectations, really comfortable.",positive
"This app was really cheap, I hated it.",negative
"Fantastic course, totally worth the price.",positive
"This is one of the best apps I've tried, really great.",positive
"Great laptop, the quality is comfortable and I'm satisfied.",positive
"I am very happy with this game, it works flawlessly.",positive
"Terrible course, the quality is terrible and I regret buying it.",negative
"I do not recommend this book, such a disappointing experience.",negative
"I hated using this headphones, everything was horrible.",negative
"This is one of the best hotels I've tried, really wonderful.",positive
"This is one of the best restaurants I've tried, really smooth.",positive
The laptop felt very uncomfortable and poorly made.,negative
"The movie exceeded my expectations, really reliable.",positive
"Highly recommend this app, such a comfortable experience.",positive
"I enjoyed using this laptop, everything was great.",positive
"Great movie, the quality is reliable and I'm satisfied.",positive
"I am very happy with this course, it works reliably.",positive
"I am very happy with this course, it works reliably.",positive
"Terrible phone, the quality is noisy and I regret buying it.",negative
"The course exceeded my expectations, really impressive.",positive
"I am very happy with this hotel, it works perfectly.",positive
"I am very happy with this hotel, it works flawlessly.",positive
"Terrible hotel, the quality is buggy and I regret buying it.",negative
"I enjoyed using this phone, everything was amazing.",positive
"I am very disappointed with this headphones, it works badly.",negative
"Great phone, the quality is excellent and I'm satisfied.",positive
"Disappointing book, I would never buy again.",negative
