text,label
"Terrible headphones, the quality is terrible and I regret buying it.",negative
"I do not recommend this phone, such a bad experience.",negative
"I am very happy with this app, it works smoothly.",positive
"Great game, the quality is wonderful and I'm satisfied.",positive
The course felt very smooth and well made.,positive
"The game exceeded my expectations, really reliable.",positive
"This is one of the best courses I've tried, really useful.",positive
"Highly recommend this restaurant, such a fantastic experience.",positive
"Disappointing hotel, I would never buy again.",negative
"Awful phone, totally not worth the price.",negative
"Terrible course, the quality is bad and I regret buying it.",negative
"This movie was absolutely reliable, I loved it.",positive
"I do not recommend this laptop, such a bad experience.",negative
"Highly recommend this game, such a reliable experience.",positive
"Fantastic phone, totally worth the price.",positive
"Disappointing course, I would never buy again.",negative
"Disappointing restaurant, I would never buy again.",negative
"Terrible game, the quality is bad and I regret buying it.",negative
"This movie was really disappointing, I hated it.",negative
"Amazing laptop, I would definitely buy again.",positive
"I enjoyed using this laptop, everything was fantastic.",positive
The headphones felt very reliable and well made.,positive
"Awful app, totally not worth the price.",negative
"Amazing movie, I would definitely buy again.",positive
"I enjoyed using this hotel, everything was fantastic.",positive
"Great restaurant, the quality is fantastic and I'm satisfied.",positive
"Disappointing restaurant, I would never buy again.",negative
"Awful app, totally not worth the price.",negative
"This restaurant was really horrible, I hated it.",negative
"This is one of the worst apps I've tried, really cheap.",negative
"I do not recommend this hotel, such a frustrating experience.",negative
"Disappointing headphones, I would never buy again.",negative
"This course was really terrible, I hated it.",negative
"Highly recommend this headphones, such a great experience.",positive
"I do not recommend this book, such a bad experience.",negative
"I hated using this phone, everything was cheap.",negative
"This restaurant was really frustrating, I hated it.",negative
"The restaurant did not meet my expectations, really bad.",negative
"I hated using this hotel, everything was disappointing.",negative
"Disappointing game, I would never buy again.",negative
The movie felt very comfortable and well made.,positive
"I hated using this game, everything was horrible.",negative
"This is one of the best courses I've tried, really fantastic.",positive
"This course was really useless, I hated it.",negative
"This is one of the best games I've tried, really fantastic.",positive
"I do not recommend this movie, such a disappointing experience.",negative
"Terrible book, the quality is bad and I regret buying it.",negative
The course felt very great and well made.,positive
"The movie exceeded my expectations, really fantastic.",positive
"Terrible hotel, the quality is frustrating and I regret buying it.",negative
"Highly recommend this phone, such a impressive experience.",positive
"I am very disappointed with this movie, it works barely.",negative
"Highly recommend this game, such a fantastic experience.",positive
"This is one of the best courses I've tried, really smooth.",positive
"This restaurant was absolutely impressive, I loved it.",positive
"The headphones did not meet my expectations, really uncomfortable.",negative
"The restaurant exceeded my expectations, really impressive.",positive
"Disappointing headphones, I would never buy again.",negative
"This restaurant was really noisy, I hated it.",negative
"The laptop did not meet my expectations, really frustrating.",negative
The restaurant felt very cheap and poorly made.,negative
"This is one of the best apps I've tried, really amazing.",positive
"Terrible hotel, the quality is bad and I regret buying it.",negative
"This is one of the best games I've tried, really impressive.",positive
"Awful laptop, totally not worth the price.",negative
"I hated using this phone, everything was frustrating.",negative
"I am very happy with this app, it works beautifully.",positive
"Awful app, totally not worth the price.",negative
"This headphones was really horrible, I hated it.",negative
"Fantastic movie, totally worth the price.",positive
"I do not recommend this app, such a uncomfortable experience.",negative
"Amazing hotel, I would definitely buy again.",positive
"This movie was absolutely wonderful, I loved it.",positive
"I hated using this restaurant, everything was useless.",negative
"The app did not meet my expectations, really noisy.",negative
"This book was really disappointing, I hated it.",negative
The game felt very horrible and poorly made.,negative
"Amazing phone, I would definitely buy again.",positive
The laptop felt very noisy and poorly made.,negative
"I am very disappointed with this phone, it works badly.",negative
"Amazing headphones, I would definitely buy again.",positive
"I hated using this phone, everything was frustrating.",negative
"Terrible restaurant, the quality is uncomfortable and I regret buying it.",negative
"Highly recommend this headphones, such a great experience.",positive
The game felt very uncomfortable and poorly made.,negative
"The laptop exceeded my expectations, really fantastic.",positive
"I do not recommend this phone, such a noisy experience.",negative
"This book was absolutely wonderful, I loved it.",positive
"This is one of the best courses I've tried, really great.",positive
"I am very disappointed with this app, it works inconsistently.",negative
"Disappointing game, I would never buy again.",negative
The app felt very bad and poorly made.,negative
"I hated using this app, everything was cheap.",negative
"I am very happy with this headphones, it works smoothly.",positive
"Disappointing book, I would never buy again.",negative
"This is one of the worst games I've tried, really noisy.",negative
"Fantastic app, totally worth the price.",positive
"Awful restaurant, totally not worth the price.",negative
"I am very disappointed with this game, it works poorly.",negative
"This is one of the worst courses I've tried, really buggy.",negative
"Amazing headphones, I would definitely buy again.",positive
"This is one of the worst hotels I've tried, really horrible.",negative
"I hated using this app, everything was cheap.",negative
"Disappointing headphones, I would never buy again.",negative
The game felt very bad and poorly made.,negative
"This is one of the best restaurants I've tried, really impressive.",positive
"This is one of the best games I've tried, really comfortable.",positive
"Awful laptop, totally not worth the price.",negative
"Fantastic course, totally worth the price.",positive
"Highly recommend this restaurant, such a excellent experience.",positive
"Great game, the quality is useful and I'm satisfied.",positive
"This is one of the best restaurants I've tried, really great.",positive
"I hated using this game, everything was uncomfortable.",negative
"Disappointing app, I would never buy again.",negative
"This is one of the worst hotels I've tried, really frustrating.",negative
"Fantastic book, totally worth the price.",positive
"The hotel exceeded my expectations, really smooth.",positive
"The course did not meet my expectations, really bad.",negative
"I am very happy with this restaurant, it works beautifully.",positive
"Awful game, totally not worth the price.",negative
"Terrible laptop, the quality is useless and I regret buying it.",negative
"Terrible course, the quality is useless and I regret buying it.",negative
"Great restaurant, the quality is excellent and I'm satisfied.",positive
"This course was really frustrating, I hated it.",negative
"Terrible restaurant, the quality is terrible and I regret buying it.",negative
"I enjoyed using this phone, everything was wonderful.",positive
"The phone exceeded my expectations, really reliable.",positive
"The app exceeded my expectations, really impressive.",positive
"This is one of the best courses I've tried, really useful.",positive
The phone felt very smooth and well made.,positive
"I am very happy with this headphones, it works perfectly.",positive
"This restaurant was absolutely impressive, I loved it.",positive
"The game exceeded my expectations, really useful.",positive
"This hotel was absolutely excellent, I loved it.",positive
"I enjoyed using this phone, everything was reliable.",positive
"Awful book, totally not worth the price.",negative
"This is one of the best restaurants I've tried, really useful.",positive
The movie felt very comfortable and well made.,positive
"I do not recommend this restaurant, such a buggy experience.",negative
The restaurant felt very bad and poorly made.,negative
"I do not recommend this laptop, such a cheap experience.",negative
"Fantastic course, totally worth the price.",positive
"This book was absolutely wonderful, I loved it.",positive
"Great course, the quality is amazing and I'm satisfied.",positive
"This is one of the worst headphoness I've tried, really disappointing.",negative
"Fantastic course, totally worth the price.",positive
"Disappointing phone, I would never buy again.",negative
"I am very happy with this restaurant, it works perfectly.",positive
"This laptop was really buggy, I hated it.",negative
"Great phone, the quality is wonderful and I'm satisfied.",positive
"Disappointing phone, I would never buy again.",negative
"I hated using this phone, everything was bad.",negative
"Great movie, the quality is wonderful and I'm satisfied.",positive
The course felt very uncomfortable and poorly made.,negative
"Fantastic restaurant, totally worth the price.",positive
"Terrible movie, the quality is horrible and I regret buying it.",negative
"Fantastic movie, totally worth the price.",positive
"I do not recommend this hotel, such a disappointing experience.",negative
"Terrible movie, the quality is buggy and I regret buying it.",negative
"Great restaurant, the quality is reliable and I'm satisfied.",positive
"Highly recommend this app, such a impressive experience.",positive
The movie felt very great and well made.,positive
"Fantastic laptop, totally worth the price.",positive
"Amazing app, I would definitely buy again.",positive
"I enjoyed using this book, everything was comfortable.",positive
"I am very happy with this hotel, it works reliably.",positive
"I enjoyed using this course, everything was amazing.",positive
"This is one of the worst movies I've tried, really cheap.",negative
"I am very happy with this app, it works beautifully.",positive
The course felt very horrible and poorly made.,negative
"Amazing app, I would definitely buy again.",positive
"I do not recommend this phone, such a horrible experience.",negative
"The game exceeded my expectations, really impressive.",positive
"I enjoyed using this game, everything was fantastic.",positive
"Awful app, totally not worth the price.",negative
"Disappointing game, I would never buy again.",negative
"Highly recommend this headphones, such a impressive experience.",positive
"I do not recommend this movie, such a horrible experience.",negative
"Amazing game, I would definitely buy again.",positive
"Amazing restaurant, I would definitely buy again.",positive
"I am very happy with this course, it works beautifully.",positive
"This book was absolutely comfortable, I loved it.",positive
"The laptop exceeded my expectations, really fantastic.",positive
"Highly recommend this hotel, such a fantastic experience.",positive
"This is one of the worst games I've tried, really cheap.",negative
"I do not recommend this headphones, such a disappointing experience.",negative
"Highly recommend this laptop, such a amazing experience.",positive
"Highly recommend this headphones, such a reliable experience.",positive
The game felt very horrible and poorly made.,negative
"Awful laptop, totally not worth the price.",negative
"This is one of the best phones I've tried, really useful.",positive
"This is one of the best restaurants I've tried, really smooth.",positive
"This is one of the worst books I've tried, really cheap.",negative
"The app exceeded my expectations, really excellent.",positive
"I do not recommend this restaurant, such a uncomfortable experience.",negative
"The course did not meet my expectations, really horrible.",negative
"I enjoyed using this restaurant, everything was reliable.",positive
"Awful game, totally not worth the price.",negative
"This is one of the best apps I've tried, really wonderful.",positive
"Amazing game, I would definitely buy again.",positive
"Disappointing hotel, I would never buy again.",negative
The app felt very useless and poorly made.,negative
The phone felt very bad and poorly made.,negative
"Disappointing course, I would never buy again.",negative
"Great restaurant, the quality is wonderful and I'm satisfied.",positive
"Disappointing phone, I would never buy again.",negative
"I am very disappointed with this game, it works poorly.",negative
The headphones felt very noisy and poorly made.,negative
The phone felt very frustrating and poorly made.,negative
The course felt very comfortable and well made.,positive
"I am very disappointed with this game, it works poorly.",negative
"I hated using this game, everything was frustrating.",negative
"I enjoyed using this restaurant, everything was amazing.",positive
"I am very disappointed with this course, it works badly.",negative
The phone felt very horrible and poorly made.,negative
"This game was absolutely smooth, I loved it.",positive
"I enjoyed using this restaurant, everything was great.",positive
"This app was really noisy, I hated it.",negative
"Disappointing phone, I would never buy again.",negative
The phone felt very uncomfortable and poorly made.,negative
"This headphones was absolutely comfortable, I loved it.",positive
"This hotel was absolutely impressive, I loved it.",positive
"Awful restaurant, totally not worth the price.",negative
"I am very happy with this restaurant, it works flawlessly.",positive
"I hated using this book, everything was horrible.",negative
"The laptop did not meet my expectations, really bad.",negative
"Disappointing game, I would never buy again.",negative
"I enjoyed using this book, everything was reliable.",positive
"Great game, the quality is great and I'm satisfied.",positive
"Highly recommend this game, such a smooth experience.",positive
"I enjoyed using this game, everything was impressive.",positive
"I hated using this headphones, everything was useless.",negative
"I am very disappointed with this game, it works poorly.",negative
"Highly recommend this book, such a wonderful experience.",positive
"Awful book, totally not worth the price.",negative
"Awful restaurant, totally not worth the price.",negative
"The laptop did not meet my expectations, really noisy.",negative
"I do not recommend this hotel, such a cheap experience.",negative
"This is one of the worst apps I've tried, really useless.",negative
"Amazing phone, I would definitely buy again.",positive
The movie felt very frustrating and poorly made.,negative
"This course was really bad, I hated it.",negative
"Great course, the quality is wonderful and I'm satisfied.",positive
"This book was really uncomfortable, I hated it.",negative
"Fantastic course, totally worth the price.",positive
"The headphones did not meet my expectations, really noisy.",negative
"Awful app, totally not worth the price.",negative
"The app did not meet my expectations, really useless.",negative
The laptop felt very excellent and well made.,positive
The headphones felt very great and well made.,positive
"Fantastic app, totally worth the price.",positive
"I hated using this restaurant, everything was cheap.",negative
"This is one of the worst restaurants I've tried, really terrible.",negative
"I am very happy with this laptop, it works beautifully.",positive
"Awful headphones, totally not worth the price.",negative
"I am very happy with this course, it works reliably.",positive
"I am very happy with this phone, it works smoothly.",positive
The game felt very disappointing and poorly made.,negative
"I enjoyed using this headphones, everything was reliable.",positive
"This book was absolutely reliable, I loved it.",positive
"Fantastic hotel, totally worth the price.",positive
"The restaurant did not meet my expectations, really bad.",negative
"I enjoyed using this app, everything was excellent.",positive
"I am very disappointed with this phone, it works barely.",negative
The app felt very horrible and poorly made.,negative
"I hated using this hotel, everything was noisy.",negative
The phone felt very disappointing and poorly made.,negative
"This is one of the best apps I've tried, really reliable.",positive
"Awful phone, totally not worth the price.",negative
"This is one of the worst phones I've tried, really noisy.",negative
"Highly recommend this headphones, such a smooth experience.",positive
"Terrible headphones, the quality is buggy and I regret buying it.",negative
"Terrible movie, the quality is buggy and I regret buying it.",negative
"This is one of the worst headphoness I've tried, really horrible.",negative
"Terrible restaurant, the quality is buggy and I regret buying it.",negative
"Amazing hotel, I would definitely buy again.",positive
"Amazing movie, I would definitely buy again.",positive
"This course was really useless, I hated it.",negative
"Fantastic game, totally worth the price.",positive
"Great app, the quality is reliable and I'm satisfied.",positive
"This is one of the best games I've tried, really smooth.",positive
"Highly recommend this headphones, such a excellent experience.",positive
"This restaurant was really uncomfortable, I hated it.",negative
"Terrible course, the quality is buggy and I regret buying it.",negative
"Disappointing movie, I would never buy again.",negative
"Highly recommend this laptop, such a excellent experience.",positive
"This is one of the worst phones I've tried, really noisy.",negative
"The movie exceeded my expectations, really smooth.",positive
"Fantastic app, totally worth the price.",positive
"Terrible game, the quality is buggy and I regret buying it.",negative
"I am very happy with this game, it works reliably.",positive
"Highly recommend this phone, such a comfortable experience.",positive
"I am very disappointed with this laptop, it works inconsistently.",negative
"Awful app, totally not worth the price.",negative
"This book was really useless, I hated it.",negative
"Awful app, totally not worth the price.",negative
"The headphones exceeded my expectations, really useful.",positive
"Great headphones, the quality is great and I'm satisfied.",positive
"I do not recommend this restaurant, such a terrible experience.",negative
"This is one of the worst headphoness I've tried, really horrible.",negative
"Amazing app, I would definitely buy again.",positive
"Highly recommend this movie, such a impressive experience.",positive
"Amazing course, I would definitely buy again.",positive
"Awful game, totally not worth the price.",negative
"This headphones was absolutely fantastic, I loved it.",positive
"This course was really horrible, I hated it.",negative
"This book was absolutely comfortable, I loved it.",positive
"Terrible restaurant, the quality is uncomfortable and I regret buying it.",negative
"The book exceeded my expectations, really amazing.",positive
"Fantastic restaurant, totally worth the price.",positive
The app felt very uncomfortable and poorly made.,negative
"Terrible game, the quality is bad and I regret buying it.",negative
The headphones felt very excellent and well made.,positive
"I do not recommend this hotel, such a useless experience.",negative
"Great game, the quality is amazing and I'm satisfied.",positive
"Awful hotel, totally not worth the price.",negative
"I enjoyed using this restaurant, everything was excellent.",positive
"Great course, the quality is amazing and I'm satisfied.",positive
"Disappointing hotel, I would never buy again.",negative
"This course was really horrible, I hated it.",negative
"I am very disappointed with this hotel, it works slowly.",negative
"Disappointing app, I would never buy again.",negative
"This phone was absolutely comfortable, I loved it.",positive
"I am very disappointed with this restaurant, it works slowly.",negative
"This is one of the worst courses I've tried, really disappointing.",negative
"This is one of the best restaurants I've tried, really wonderful.",positive
"I hated using this movie, everything was disappointing.",negative
"The phone did not meet my expectations, really useless.",negative
"Amazing course, I would definitely buy again.",positive
"Great headphones, the quality is impressive and I'm satisfied.",positive
"Fantastic hotel, totally worth the price.",positive
"Amazing book, I would definitely buy again.",positive
"This is one of the best phones I've tried, really reliable.",positive
"I am very disappointed with this headphones, it works slowly.",negative
"I am very happy with this restaurant, it works flawlessly.",positive
"Fantastic hotel, totally worth the price.",positive
"This hotel was really frustrating, I hated it.",negative
"I enjoyed using this game, everything was amazing.",positive
"This movie was absolutely great, I loved it.",positive
"Great book, the quality is fantastic and I'm satisfied.",positive
"I do not recommend this movie, such a buggy experience.",negative
"I am very happy with this phone, it works flawlessly.",positive
"This is one of the worst phones I've tried, really buggy.",negative
"This is one of the best movies I've tried, really impressive.",positive
"I enjoyed using this phone, everything was smooth.",positive
"I enjoyed using this game, everything was comfortable.",positive
"Disappointing headphones, I would never buy again.",negative
"Amazing phone, I would definitely buy again.",positive
"I am very happy with this app, it works perfectly.",positive
"Great headphones, the quality is great and I'm satisfied.",positive
"Fantastic laptop, totally worth the price.",positive
"Amazing app, I would definitely buy again.",positive
"I am very happy with this phone, it works flawlessly.",positive
"The book exceeded my expectations, really smooth.",positive
"Terrible hotel, the quality is bad and I regret buying it.",negative
"I do not recommend this hotel, such a terrible experience.",negative
"This book was absolutely reliable, I loved it.",positive
"I hated using this book, everything was bad.",negative
"Highly recommend this laptop, such a smooth experience.",positive
"I hated using this headphones, everything was disappointing.",negative
"The laptop exceeded my expectations, really reliable.",positive
"This is one of the best games I've tried, really comfortable.",positive
"I am very happy with this book, it works perfectly.",positive
"This headphones was really bad, I hated it.",negative
"Disappointing phone, I would never buy again.",negative
"Disappointing book, I would never buy again.",negative
"Disappointing app, I would never buy again.",negative
"Highly recommend this course, such a reliable experience.",positive
"Highly recommend this book, such a great experience.",positive
"Amazing hotel, I would definitely buy again.",positive
"This is one of the best apps I've tried, really great.",positive
"I am very happy with this restaurant, it works beautifully.",positive
"Disappointing course, I would never buy again.",negative
"I am very happy with this restaurant, it works smoothly.",positive
"The headphones exceeded my expectations, really great.",positive
The book felt very great and well made.,positive
"Awful headphones, totally not worth the price.",negative
"Fantastic course, totally worth the price.",positive
"Amazing hotel, I would definitely buy again.",positive
"I do not recommend this movie, such a frustrating experience.",negative
"Fantastic book, totally worth the price.",positive
"Great hotel, the quality is impressive and I'm satisfied.",positive
"Awful book, totally not worth the price.",negative
"Great app, the quality is amazing and I'm satisfied.",positive
"I am very disappointed with this hotel, it works badly.",negative
"Highly recommend this course, such a great experience.",positive
"Terrible movie, the quality is uncomfortable and I regret buying it.",negative
"Highly recommend this laptop, such a smooth experience.",positive
"I hated using this laptop, everything was uncomfortable.",negative
"Terrible game, the quality is buggy and I regret buying it.",negative
The book felt very uncomfortable and poorly made.,negative
"I do not recommend this phone, such a frustrating experience.",negative
"Amazing movie, I would definitely buy again.",positive
"Awful movie, totally not worth the price.",negative
"Highly recommend this app, such a fantastic experience.",positive
"Highly recommend this hotel, such a reliable experience.",positive
"This is one of the best games I've tried, really smooth.",positive
"This movie was absolutely impressive, I loved it.",positive
"This is one of the best courses I've tried, really excellent.",positive
"Disappointing laptop, I would never buy again.",negative
"Terrible course, the quality is terrible and I regret buying it.",negative
"I am very disappointed with this laptop, it works barely.",negative
"Fantastic game, totally worth the price.",positive
"Terrible phone, the quality is frustrating and I regret buying it.",negative
"I am very happy with this game, it works beautifully.",positive
"Awful headphones, totally not worth the price.",negative
"I enjoyed using this restaurant, everything was amazing.",positive
"I am very disappointed with this restaurant, it works barely.",negative
"I am very happy with this headphones, it works reliably.",positive
"The laptop did not meet my expectations, really uncomfortable.",negative
"This is one of the worst hotels I've tried, really terrible.",negative
"This is one of the worst phones I've tried, really useless.",negative
"I am very disappointed with this course, it works inconsistently.",negative
"This headphones was absolutely fantastic, I loved it.",positive
"I am very disappointed with this app, it works barely.",negative
"I am very disappointed with this headphones, it works barely.",negative
"This is one of the best restaurants I've tried, really excellent.",positive
"Great course, the quality is comfortable and I'm satisfied.",positive
"I am very disappointed with this laptop, it works inconsistently.",negative
"Terrible course, the quality is horrible and I regret buying it.",negative
"I do not recommend this laptop, such a cheap experience.",negative
"This is one of the worst restaurants I've tried, really buggy.",negative
"This is one of the best laptops I've tried, really comfortable.",positive
"The app did not meet my expectations, really buggy.",negative
"I enjoyed using this app, everything was wonderful.",positive
"Amazing course, I would definitely buy again.",positive
The restaurant felt very fantastic and well made.,positive
"Highly recommend this laptop, such a great experience.",positive
"I enjoyed using this hotel, everything was reliable.",positive
"I do not recommend this game, such a buggy experience.",negative
"The game did not meet my expectations, really buggy.",negative
"I enjoyed using this headphones, everything was comfortable.",positive
"Awful app, totally not worth the price.",negative
"I enjoyed using this phone, everything was fantastic.",positive
"This is one of the worst restaurants I've tried, really disappointing.",negative
"I am very happy with this hotel, it works reliably.",positive
"The headphones did not meet my expectations, really uncomfortable.",negative
"I enjoyed using this movie, everything was wonderful.",positive
"Disappointing app, I would never buy again.",negative
"I do not recommend this movie, such a bad experience.",negative
"Terrible movie, the quality is disappointing and I regret buying it.",negative
"I hated using this movie, everything was buggy.",negative
"I do not recommend this movie, such a frustrating experience.",negative
"I am very happy with this game, it works smoothly.",positive
"I hated using this headphones, everything was noisy.",negative
"Fantastic phone, totally worth the price.",positive
The laptop felt very buggy and poorly made.,negative
"I hated using this book, everything was cheap.",negative
"Amazing hotel, I would definitely buy again.",positive
"Highly recommend this restaurant, such a wonderful experience.",positive
"I am very disappointed with this app, it works barely.",negative
"Terrible phone, the quality is bad and I regret buying it.",negative
"Disappointing hotel, I would never buy again.",negative
"This is one of the worst headphoness I've tried, really horrible.",negative
"Disappointing game, I would never buy again.",negative
"This laptop was absolutely amazing, I loved it.",positive
"This is one of the worst apps I've tried, really buggy.",negative
"Terrible headphones, the quality is bad and I regret buying it.",negative
"Fantastic app, totally worth the price.",positive
"The app did not meet my expectations, really disappointing.",negative
"Amazing phone, I would definitely buy again.",positive
The book felt very great and well made.,positive
"The movie exceeded my expectations, really smooth.",positive
The phone felt very useful and well made.,positive
"This laptop was absolutely great, I loved it.",positive
"The course did not meet my expectations, really bad.",negative
"Great app, the quality is amazing and I'm satisfied.",positive
"This is one of the best games I've tried, really useful.",positive
"This laptop was really cheap, I hated it.",negative
"The restaurant did not meet my expectations, really cheap.",negative
"The app did not meet my expectations, really bad.",negative
"Terrible course, the quality is disappointing and I regret buying it.",negative
"The game exceeded my expectations, really reliable.",positive
"Awful app, totally not worth the price.",negative
"I hated using this hotel, everything was bad.",negative
"I hated using this headphones, everything was cheap.",negative
"I do not recommend this book, such a useless experience.",negative
"I enjoyed using this hotel, everything was wonderful.",positive
"Highly recommend this phone, such a reliable experience.",positive
"The course did not meet my expectations, really cheap.",negative
"Great game, the quality is fantastic and I'm satisfied.",positive
"I do not recommend this phone, such a bad experience.",negative
"This hotel was really cheap, I hated it.",negative
The headphones felt very horrible and poorly made.,negative
"I hated using this book, everything was bad.",negative
"I am very happy with this phone, it works perfectly.",positive
"I am very happy with this hotel, it works smoothly.",positive
"Fantastic course, totally worth the price.",positive
The headphones felt very great and well made.,positive
"Fantastic game, totally worth the price.",positive
"Fantastic headphones, totally worth the price.",positive
"Terrible course, the quality is bad and I regret buying it.",negative
"This headphones was absolutely wonderful, I loved it.",positive
The laptop felt very horrible and poorly made.,negative
"I am very happy with this app, it works smoothly.",positive
"Great app, the quality is amazing and I'm satisfied.",positive
"Awful headphones, totally not worth the price.",negative
"Disappointing book, I would never buy again.",negative
"I am very disappointed with this app, it works barely.",negative
"Awful movie, totally not worth the price.",negative
"I am very happy with this phone, it works smoothly.",positive
"I am very disappointed with this restaurant, it works slowly.",negative
"This is one of the worst restaurants I've tried, really cheap.",negative
